firm,time,open,high,low,close,dailyreturn,volume,Liquidity,yearReport,lengthReport,TOTALASSETS,LIABILITIES,Currentliabilities,Cashandcashequivalents,Revenue,PAT,SIZE,LEV,ROA,CASHRATIO,RevenueYoY,vnopen,vnhigh,vnlow,vnclose,vnvolume,vngrowth
VTB,2016-08-26 00:00:00.000000 UTC,6.52,6.82,6.52,6.82,0.0,360,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,662.9,668.84,662.9,667.75,116144856,0.013999999999999999
VTB,2016-08-25 00:00:00.000000 UTC,6.82,6.82,6.82,6.82,0.0,0,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,660.77,660.77,656.49,658.5,114428404,-0.0034000000000000002
VTB,2016-08-24 00:00:00.000000 UTC,6.82,6.82,6.82,6.82,0.0302,330,13026.45161,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,660.95,665.43,659.7,660.77,103649686,0.0024
VTB,2016-08-23 00:00:00.000000 UTC,6.62,6.62,6.31,6.62,0.0409,610,1613.731343,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,653.58,659.16,652.88,659.16,106404491,0.0023
VTB,2016-08-22 00:00:00.000000 UTC,6.98,7.03,6.36,6.36,-0.0606,170,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,662.87,664.95,657.68,657.68,116277799,-0.0069
VTB,2016-08-19 00:00:00.000000 UTC,6.77,6.77,6.77,6.77,0.0,40,1816.341463,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,664.09,666.93,659.64,662.28,109634508,0.0025
VTB,2016-08-18 00:00:00.000000 UTC,6.36,6.77,6.36,6.77,0.0,110,1109.836066,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,663.56,665.94,656.35,660.65,131545569,0.0002
VTB,2016-08-17 00:00:00.000000 UTC,6.87,6.87,6.26,6.77,0.015,100,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,659.46,660.76,657.06,660.51,123775524,0.0036
VTB,2016-08-16 00:00:00.000000 UTC,6.67,6.67,6.67,6.67,0.0406,100,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,659.47,662.13,656.83,658.11,159822132,-0.0021
VTB,2016-08-15 00:00:00.000000 UTC,6.41,6.41,6.41,6.41,-0.0601,50,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,654.06,659.47,653.64,659.47,117828482,0.0056999999999999993
VTB,2016-08-12 00:00:00.000000 UTC,6.82,6.82,6.82,6.82,-0.0073,120,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,665.14,668.52,652.67,655.71,124870914,-0.0069
VTB,2016-08-11 00:00:00.000000 UTC,6.87,6.87,6.87,6.87,0.0,0,1084.736842,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,649.27,660.24,648.31,660.24,140823073,0.0184
VTB,2016-08-10 00:00:00.000000 UTC,6.93,7.03,6.46,6.87,0.0,90,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,637.21,648.48,637.21,648.33,120688556,0.0172
VTB,2016-08-09 00:00:00.000000 UTC,6.87,6.87,6.87,6.87,-0.0365,10,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,629.66,637.34,629.66,637.34,98809290,0.0125
VTB,2016-08-08 00:00:00.000000 UTC,7.13,7.13,7.13,7.13,0.0378,140,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,627.39,629.91,622.14,629.46,89945851,0.0033
VTB,2016-08-05 00:00:00.000000 UTC,6.87,6.87,6.87,6.87,0.0073,60,2841.666667,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,629.69,630.18,622.49,627.39,125515353,-0.0072
VTB,2016-08-04 00:00:00.000000 UTC,6.46,6.82,6.46,6.82,-0.0073,150,298.6956522,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,633.74,641.02,631.94,631.94,111863525,0.0005
VTB,2016-08-03 00:00:00.000000 UTC,6.41,6.87,6.41,6.87,0.0,20,2240.217391,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,632.98,634.75,627.66,631.61,94432340,-0.0069999999999999993
VTB,2016-08-02 00:00:00.000000 UTC,6.41,6.87,6.41,6.87,0.0,150,31363.04348,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,643.2,643.2,633.33,636.05,176029956,-0.019
VTB,2016-08-01 00:00:00.000000 UTC,6.82,6.87,6.41,6.87,0.0073,2100,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,655.38,655.38,646.02,648.38,91849110,-0.0059
VTB,2016-07-29 00:00:00.000000 UTC,6.82,6.82,6.82,6.82,0.0,120,6484.590164,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,654.19,657.88,650.98,652.23,119628222,-0.0075
VTB,2016-07-28 00:00:00.000000 UTC,6.21,6.82,6.21,6.82,0.0225,580,6888.688525,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,655.81,657.2,649.86,657.14,122889860,0.0016
VTB,2016-07-27 00:00:00.000000 UTC,6.57,6.82,6.21,6.67,0.0152,630,4043.076923,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,648.03,656.11,647.74,656.11,126961079,0.0116
