firm,time,open,high,low,close,dailyreturn,volume,Liquidity,yearReport,lengthReport,TOTALASSETS,LIABILITIES,Currentliabilities,Cashandcashequivalents,Revenue,PAT,SIZE,LEV,ROA,CASHRATIO,RevenueYoY,vnopen,vnhigh,vnlow,vnclose,vnvolume,vngrowth,SentimentLevel,SentimentLevelId,Score,Positive_cnt,Negative_cnt,Neutral_cnt
FPT,2024-04-25 00:00:00.000000 UTC,105.79,110.54,105.27,106.4,0.0258,5718864,177145545.9,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1206.52,1208.41,1200.21,1204.97,569651810,-0.0005,Trung lập,0,47,1,0,0
FPT,2024-04-24 00:00:00.000000 UTC,98.1,103.72,97.76,103.72,0.0695,10179208,133330050.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1177.4,1207.61,1177.4,1205.61,820079823,0.024,Sợ hãi,-1,42,0,0,1
FPT,2024-04-24 00:00:00.000000 UTC,98.1,103.72,97.76,103.72,0.0695,10179208,133330050.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1177.4,1207.61,1177.4,1205.61,820079823,0.024,Sợ hãi,-1,42,0,0,1
FPT,2024-04-24 00:00:00.000000 UTC,98.1,103.72,97.76,103.72,0.0695,10179208,133330050.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1177.4,1207.61,1177.4,1205.61,820079823,0.024,Sợ hãi,-1,42,1,0,0
FPT,2024-04-24 00:00:00.000000 UTC,98.1,103.72,97.76,103.72,0.0695,10179208,133330050.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1177.4,1207.61,1177.4,1205.61,820079823,0.024,Sợ hãi,-1,42,1,0,0
FPT,2024-04-24 00:00:00.000000 UTC,98.1,103.72,97.76,103.72,0.0695,10179208,133330050.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1177.4,1207.61,1177.4,1205.61,820079823,0.024,Sợ hãi,-1,42,1,0,0
FPT,2024-04-23 00:00:00.000000 UTC,95.77,97.85,94.91,96.98,0.0181,4041971,106007092.1,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1189.98,1192.8,1169.61,1177.4,778311310,-0.0108,,,,0,0,1
FPT,2024-04-23 00:00:00.000000 UTC,95.77,97.85,94.91,96.98,0.0181,4041971,106007092.1,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1189.98,1192.8,1169.61,1177.4,778311310,-0.0108,,,,1,0,0
FPT,2024-04-23 00:00:00.000000 UTC,95.77,97.85,94.91,96.98,0.0181,4041971,106007092.1,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1189.98,1192.8,1169.61,1177.4,778311310,-0.0108,,,,1,0,0
FPT,2024-04-23 00:00:00.000000 UTC,95.77,97.85,94.91,96.98,0.0181,4041971,106007092.1,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1189.98,1192.8,1169.61,1177.4,778311310,-0.0108,,,,1,0,0
FPT,2024-04-22 00:00:00.000000 UTC,95.0,96.21,94.05,95.26,0.012,2403688,266215245.8,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1183.77,1193.88,1181.13,1190.22,708578793,0.0131,Trung lập,0,47,1,0,0
FPT,2024-04-22 00:00:00.000000 UTC,95.0,96.21,94.05,95.26,0.012,2403688,266215245.8,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1183.77,1193.88,1181.13,1190.22,708578793,0.0131,Trung lập,0,47,1,0,0
FPT,2024-04-22 00:00:00.000000 UTC,95.0,96.21,94.05,95.26,0.012,2403688,266215245.8,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1183.77,1193.88,1181.13,1190.22,708578793,0.0131,Trung lập,0,47,1,0,0
FPT,2024-04-19 00:00:00.000000 UTC,95.43,96.03,94.13,94.13,-0.0251,5373515,145906809.1,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1188.47,1190.96,1165.99,1174.85,1070536473,-0.0152,Trung lập,0,49,1,0,0
FPT,2024-04-15 00:00:00.000000 UTC,99.75,99.83,96.29,96.38,-0.0338,3709209,99150632.61,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1276.16,1281.81,1216.61,1216.61,1455862779,-0.047,Tham lam,1,59,0,0,1
FPT,2024-04-15 00:00:00.000000 UTC,99.75,99.83,96.29,96.38,-0.0338,3709209,99150632.61,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1276.16,1281.81,1216.61,1216.61,1455862779,-0.047,Tham lam,1,59,1,0,0
FPT,2024-04-11 00:00:00.000000 UTC,98.02,99.66,97.85,99.23,0.0097,1553032,89127054.55,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1255.46,1262.03,1248.11,1258.2,686819590,-0.0003,Tham lam,1,57,1,0,0
FPT,2024-04-11 00:00:00.000000 UTC,98.02,99.66,97.85,99.23,0.0097,1553032,89127054.55,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1255.46,1262.03,1248.11,1258.2,686819590,-0.0003,Tham lam,1,57,1,0,0
FPT,2024-04-11 00:00:00.000000 UTC,98.02,99.66,97.85,99.23,0.0097,1553032,89127054.55,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1255.46,1262.03,1248.11,1258.2,686819590,-0.0003,Tham lam,1,57,1,0,0
FPT,2024-04-10 00:00:00.000000 UTC,98.02,99.83,97.85,98.28,0.0071,1795600,233838489.3,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1266.52,1268.72,1258.56,1258.56,702274717,-0.0034000000000000002,Tham lam,1,57,0,0,1
FPT,2024-04-10 00:00:00.000000 UTC,98.02,99.83,97.85,98.28,0.0071,1795600,233838489.3,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1266.52,1268.72,1258.56,1258.56,702274717,-0.0034000000000000002,Tham lam,1,57,1,0,0
FPT,2024-04-10 00:00:00.000000 UTC,98.02,99.83,97.85,98.28,0.0071,1795600,233838489.3,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1266.52,1268.72,1258.56,1258.56,702274717,-0.0034000000000000002,Tham lam,1,57,1,0,0
FPT,2024-04-08 00:00:00.000000 UTC,98.19,98.19,97.24,97.24,-0.0097,1957677,149967431.5,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1255.51,1258.4,1246.87,1250.35,876038830,-0.0038,Tham lam,1,64,1,0,0
FPT,2024-04-08 00:00:00.000000 UTC,98.19,98.19,97.24,97.24,-0.0097,1957677,149967431.5,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1255.51,1258.4,1246.87,1250.35,876038830,-0.0038,Tham lam,1,64,1,0,0
