ticker,date,year,quarter,dailyreturn,volume,liquidity
ITD,8/2/2019,2019,3,-0.0040,2100,417332.7586
ITD,8/5/2019,2019,3,-0.0040,18620,526400
ITD,8/6/2019,2019,3,-0.0093,14630,734020
ITD,8/7/2019,2019,3,0.0445,58030,417517.6923
ITD,8/8/2019,2019,3,-0.0258,5410,1153160.256
ITD,8/9/2019,2019,3,0.0000,4230,157098.0769
ITD,8/12/2019,2019,3,0.0000,100990,532275
ITD,8/13/2019,2019,3,0.0053,23510,4485144.118
ITD,8/14/2019,2019,3,0.0000,6350,775830
ITD,8/15/2019,2019,3,-0.0053,2610,240982.5
ITD,8/16/2019,2019,3,0.0265,33300,281507.1429
ITD,8/19/2019,2019,3,-0.0168,4020,992596.1538
ITD,8/20/2019,2019,3,0.0000,24960,153162
ITD,8/21/2019,2019,3,-0.0092,36420,950976
ITD,8/22/2019,2019,3,0.0265,59350,2115161.538
ITD,8/23/2019,2019,3,0.0168,2950,999918.4783
ITD,8/26/2019,2019,3,0.0000,4730,116230
ITD,8/27/2019,2019,3,-0.0330,18740,112946.6667
ITD,8/28/2019,2019,3,0.0433,19280,432723.6364
ITD,8/29/2019,2019,3,-0.0050,7090,464472.7273
ITD,8/30/2019,2019,3,-0.0114,8440,350511.875
ITD,9/3/2019,2019,3,0.0000,26750,507698.4615
ITD,9/4/2019,2019,3,0.0077,5210,1494178.571
ITD,9/5/2019,2019,3,-0.0076,59820,256592.5
ITD,9/6/2019,2019,3,-0.0128,510,2338962
ITD,9/9/2019,2019,3,0.0000,7610,28122.85714
ITD,9/10/2019,2019,3,0.0000,14910,345583.5294
ITD,9/11/2019,2019,3,-0.0052,5350,2877630
ITD,9/12/2019,2019,3,0.0091,47720,1027200
ITD,9/13/2019,2019,3,-0.0039,10920,3698300
ITD,9/16/2019,2019,3,-0.0091,15530,421512
ITD,9/17/2019,2019,3,0.0039,17230,3960150
ITD,9/18/2019,2019,3,0.0091,21140,0
ITD,9/19/2019,2019,3,0.0000,7240,2340500
ITD,9/20/2019,2019,3,-0.0090,133500,0
ITD,9/23/2019,2019,3,-0.0117,78030,25632000
ITD,9/24/2019,2019,3,0.0000,115780,2193510
ITD,9/25/2019,2019,3,-0.0224,92190,12553860
ITD,9/26/2019,2019,3,0.0000,27790,2630960.769
ITD,9/27/2019,2019,3,0.0135,6650,1031009
ITD,9/30/2019,2019,3,-0.0093,25620,250040
ITD,10/1/2019,2019,4,0.0054,9000,414932.6087
ITD,10/2/2019,2019,4,0.0000,25690,204272.7273
ITD,10/3/2019,2019,4,-0.0134,14420,962090.5
ITD,10/4/2019,2019,4,0.0000,1300,273240.5128
ITD,10/7/2019,2019,4,0.0271,150,320233.3333
ITD,10/8/2019,2019,4,-0.0184,7990,5692.5
ITD,10/9/2019,2019,4,0.0000,7940,992091.6667
ITD,10/10/2019,2019,4,0.0000,23790,591530
ITD,10/11/2019,2019,4,0.0054,12630,1772355
ITD,10/14/2019,2019,4,0.0040,350,2364967.5
ITD,10/15/2019,2019,4,0.0093,14860,18800
ITD,10/16/2019,2019,4,-0.0132,4210,1127874
ITD,10/17/2019,2019,4,0.0000,2810,315329
ITD,10/18/2019,2019,4,-0.0053,15580,701563.3333
ITD,10/21/2019,2019,4,0.0094,3320,1658157.143
ITD,10/22/2019,2019,4,-0.0093,9200,356662.8571
ITD,10/23/2019,2019,4,0.0000,7420,979142.8571
ITD,10/24/2019,2019,4,0.0054,840,1381975
ITD,10/25/2019,2019,4,-0.0093,1350,89880
ITD,10/28/2019,2019,4,0.0000,10400,77053.84615
ITD,10/29/2019,2019,4,0.0094,14880,2572266.667
ITD,10/30/2019,2019,4,-0.0093,7280,1592160
ITD,10/31/2019,2019,4,0.0000,21500,540176
ITD,11/1/2019,2019,4,0.0000,1400,1595300
ITD,11/4/2019,2019,4,0.0000,330,0
ITD,11/5/2019,2019,4,0.0040,500,81620
ITD,11/6/2019,2019,4,0.0134,4400,124166.6667
